Gender,Age,City,Education,Occupation,Monthly_Income,IM_Usage_period,Experience,Bank,Source,Bank_Account_Type,Usage_Time,Distance,Service,TimeSaving,Easyness,UI_Design,Network_Connectivity,Cost_effective,Availabilty,Security,Comfortable,Awareness,Usage,Aware_Charges,Charges,Satifaction,Recommendation
Male,26 - 30,Jaffna,Degree,Private Employee,"50,000- 100,000",More than two years,Experienced,Bank of Ceylon,Bank,Saving Account,Daily-once,Less than 1 km,All the above,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Yes,Okay,4,Yes
Male,41 - 50,Jaffna,Degree,Govt Employee,"100,001-150,000",More than two years,Experienced,Bank of Ceylon;Peoples’ bank;Sampath bank;Commercial Bank,Bank,Both,Weekly-Once,1 to 2 km,To transfer money,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Yes,Okay,4,Yes
Male,41 - 50,Vavuniya,Degree,Govt Employee,"Upto 50000",More than two years,Intermediate,Peoples’ bank;Sampath bank;Hatton National Bank;Commercial Bank,Bank,Both,Monthly-several times,Less than 1 km,All the above,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,No,,4,No
Male,26 - 30,Jaffna,Degree,Govt Employee,"Upto 50000",More than two years,Experienced,Bank of Ceylon,Friend,Saving Account,Weekly-Once,1 to 2 km,All the above,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,,4,Yes
Male,41 - 50,Kilinochi,Degree,Govt Employee,"150,001-200,000",More than two years,Intermediate,Bank of Ceylon,Bank,Saving Account,Monthly-several times,1 to 2 km,All the above,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Yes,Not care,4,Yes
Male,31 - 40,Batticaloa,Degree,Govt Employee,"50,000- 100,000",More than two years,Intermediate,Peoples’ bank,Internet,Saving Account,Weekly-Once,More than 10 km,All the above,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Yes,little high,4,Yes
Male,51 - 60,Colombo,Degree,Govt Employee,"Above 200000",More than two years,Intermediate,Peoples’ bank;Hatton National Bank,Bank,Both,Weekly-several times,2 to 5 km,All the above,Strongly Agree,Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Yes,little high,4,Yes
Male,18 - 25,Batticaloa,A/L,Private Employee,"Upto 50000",More than two years,Intermediate,Commercial Bank;NTB,Bank,Saving Account,Weekly-Once,2 to 5 km,To transfer money,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Yes,little high,3,Yes
Male,26 - 30,Batticaloa,Degree,Self Employee,"50,000- 100,000",More than two years,Experienced,Bank of Ceylon;Peoples’ bank;Hatton National Bank;Commercial Bank,Bank,Both,Weekly-several times,1 to 2 km,All the above,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,Okay,4,Yes
Male,18 - 25,Batticaloa,Degree,Private Employee,"100,001-150,000",More than two years,Experienced,Bank of Ceylon;NTB,Bank,Saving Account,Monthly-several times,1 to 2 km,All the above,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Yes,Okay,5,Yes
